sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
off	nue	7.4			0	1000		0.00000
off	nue	7.5			0	1000		0.00000
off	nue	7.6			0	1000		0.00000
off	nue	7.7			0	1000		0.00000
off	nue	7.8			0	1000		0.00000
off	nue	7.9			0	1000		0.00000
off	nue	8.0			0	1000		0.00000
off	nue	8.1			0	1000		0.00000
off	nue	8.2			0	1000		0.00000
off	nue	8.3			0	1000		0.00000
off	nue	8.4			0	1000		0.00000
off	nue	8.5			0	1000		0.00000
off	nue	8.6			0	1000		0.00000
off	nue	8.7			0	1000		0.00000
off	nue	8.8			0	1000		0.00000
off	nue	8.9			0	1000		0.00000
off	nue	9.0			0	1000		0.00000
off	nue	9.1			0	1000		0.00000
off	nue	9.2			0	1000		0.00000
off	nue	9.3			0	1000		0.00000
off	nue	9.4			0	1000		0.00000
off	nue	9.5			0	1000		0.00000
off	nue	9.6			0	1000		0.00000
off	nue	9.7			0	1000		0.00000
off	nue	9.8			0	1000		0.00000
off	nue	9.9			0	1000		0.00000
off	nue	10.0			0	1000		0.00000
off	nue	10.1			0	1000		0.00000
off	nue	10.2			0	1000		0.00000
off	nue	10.3			0	1000		0.00000
off	nue	10.4			0	1000		0.00000
off	nue	10.5			0	1000		0.00000
off	nue	10.6			0	1000		0.00000
off	nue	10.7			0	1000		0.00000
off	nue	10.8			0	1000		0.00000
off	nue	10.9			0	1000		0.00000
off	nue	11.0			0	1000		0.00000
off	nue	11.1			0	1000		0.00000
off	nue	11.2			0	1000		0.00000
off	nue	11.3			0	1000		0.00000
off	nue	11.4			0	1000		0.00000
off	nue	11.5			0	1000		0.00000
off	nue	11.6			0	1000		0.00000
off	nue	11.7			0	1000		0.00000
off	nue	11.8			0	1000		0.00000
off	nue	11.9			0	1000		0.00000
off	nue	12.0			0	1000		0.00000
off	nue	12.1			0	1000		0.00000
off	nue	12.2			0	1000		0.00000
off	nue	12.3			0	1000		0.00000
off	nue	12.4			0	1000		0.00000
off	nue	12.5			0	1000		0.00000
off	nue	12.6			0	1000		0.00000
off	nue	12.7			0	1000		0.00000
off	nue	12.8			0	1000		0.00000
off	nue	12.9			0	1000		0.00000
off	nue	13.0			0	1000		0.00000
off	nue	13.1			0	1000		0.00000
off	nue	13.2			0	1000		0.00000
off	nue	13.3			0	1000		0.00000
off	nue	13.4			0	1000		0.00000
off	nue	13.5			0	1000		0.00000
off	nue	13.6			0	1000		0.00000
off	nue	13.7			0	1000		0.00000
off	nue	13.8			0	1000		0.00000
off	nue	13.9			0	1000		0.00000
off	nue	14.0			0	1000		0.00000
off	nue	14.1			0	1000		0.00000
off	nue	14.2			0	1000		0.00000
off	nue	14.3			0	1000		0.00000
off	nue	14.4			0	1000		0.00000
off	nue	14.5			0	1000		0.00000
off	nue	14.6			0	1000		0.00000
off	nue	14.7			0	1000		0.00000
off	nue	14.8			0	1000		0.00000
off	nue	14.9			0	1000		0.00000
off	nue	15.0			0	1000		0.00000
