sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
ncpi0	18259	1	18625	0	12.625	11.994	13	1263332	0	nu-candidate	12	2	2	1	0	1.833	15.3	11	147.30873	85.10854	166.71344	2.3249195	-15.0	1.0	0.0	0.7	0.0	1428.6656	23.844864	0.0	23.844864	3	82.18735
ncpi0	18345	1	21073	0	14.538	12.945	15	1206232	0	nu-candidate	10	1	1	1	0	1.842	102.2	42	-33.10261	26.439455	363.375	0.93108267	-15.0	1.0	0.0	0.7	0.0	958.0967	471.30966	471.30966	0.0	2	93.68921
ncpi0	18259	1	37112	0	8.484	7.880	9	1197244	0	nu-candidate	12	1	1	1	0	0.901	54.3	41	-165.95512	70.14817	8.208933	0.30225757	-0.823628	1.0	0.0	0.7	0.0	1237.8424	1.4111032	0.0	1.4111032	1	7.169169
ncpi0	18255	1	56982	0	14.903	14.297	15	1241464	0	nu-candidate	15	1	1	1	0	1.864	73.0	46	-89.93941	-149.6068	386.85107	1.1343111	-0.858989	1.0	0.0	0.7	0.0	1156.2976	142.55682	127.04099	15.515828	5	43.842205
ncpi0	18255	1	71372	0	27.023	26.358	28	1351712	0	nu-candidate	13	1	1	1	0	2.012	62.6	75	-165.82068	-156.63315	223.2751	2.6343882	-15.0	1.0	0.0	0.7	0.0	2450.1677	0.0	0.0	0.0	0	17.008036
ncpi0	18364	1	84229	0	17.994	15.380	19	1213636	0	nu-candidate	10	1	1	1	0	0.671	96.4	36	97.52778	122.7356	384.502	0.77285826	-15.0	1.0	0.0	0.7	0.0	1492.6218	2.4650292	0.0	2.4650292	2	695.576
ncpi0	18259	1	105946	0	8.319	7.887	9	1157256	0	nu-candidate	10	1	1	1	0	0.878	50.1	32	-134.39026	-146.77197	400.9667	-0.19610102	-15.0	1.0	0.0	0.7	0.0	1047.1547	77.860985	0.0	77.860985	7	85.61176
ncpi0	18255	1	114446	0	5.721	5.138	6	1236164	0	nu-candidate	14	1	1	1	0	1.233	10.9	6	-65.98571	-64.34706	333.0435	-2.7398417	-15.0	1.0	0.0	0.7	0.0	125.77045	5.0271125	0.0	5.0271125	2	8.053195
ncpi0	18255	1	142421	0	21.456	20.885	22	1333532	0	nu-candidate	11	1	1	1	0	1.158	264.2	52	118.3201	-69.73505	208.7188	3.704026	-15.0	1.0	0.0	0.7	0.0	2677.8176	422.23544	420.35196	1.8834941	5	29.900866
ncpi0	18255	1	180801	0	9.960	10.591	10	1312220	0	nu-candidate	13	1	1	1	0	0.728	70.9	36	-33.8715	-14.987667	445.33282	-0.15551922	-3.410488	1.0	0.0	0.7	0.0	1372.1139	16.480927	0.0	16.480927	6	243.74045
ncpi0	18345	1	259542	0	12.635	12.067	13	1312388	0	nu-candidate	13	1	1	1	0	1.567	51.3	57	101.91359	17.657187	163.81247	-0.14870608	-15.0	1.0	0.0	0.7	0.0	1557.9613	193.79616	0.0	193.79616	9	226.52626
ncpi0	18261	1	285567	0	21.572	21.006	22	1340916	0	nu-candidate	8	1	1	1	0	0.970	118.0	40	59.016544	-177.96709	272.2521	1.1720846	-7.105806	1.0	0.0	0.7	0.0	1814.8389	181.743	37.59966	144.14333	7	97.53337
ncpi0	18255	1	314838	0	10.614	10.069	11	1336908	0	nu-candidate	10	1	1	1	0	1.591	36.8	30	25.772255	155.0555	140.34195	-0.22128429	-15.0	1.0	0.0	0.7	0.0	1080.8429	7.2303324	0.0	7.2303324	3	634.75574
ncpi0	18255	1	359980	0	10.060	9.675	11	1253016	0	nu-candidate	15	1	1	1	0	1.612	47.5	39	112.9233	155.85793	275.69632	0.2972357	-15.0	1.0	0.0	0.7	0.0	887.96	3.7579134	0.0	3.7579134	1	13.072505
ncpi0	18255	1	399860	0	16.996	17.587	18	1217092	0	nu-candidate	12	1	1	1	0	1.977	56.4	24	-32.13763	-84.64111	407.50034	0.49938303	6.666899	1.0	0.0	0.7	0.0	1322.6947	0.0	0.0	0.0	0	1.8259697
ncpi0	18255	1	463565	0	12.523	11.942	13	1248776	0	nu-candidate	11	1	1	1	0	1.366	58.2	46	30.587358	-142.66469	251.16335	-0.46209982	-15.0	1.0	0.0	0.7	0.0	1211.3168	6.1898155	0.0	6.1898155	4	1033.7457
ncpi0	18255	1	506114	0	26.439	25.932	27	1345148	0	nu-candidate	13	1	1	1	0	1.722	93.0	49	118.14703	-13.734578	167.6085	-1.0140761	-15.0	1.0	0.0	0.7	0.0	2155.9375	106.77519	0.0	106.77519	6	11.45719
ncpi0	18255	1	506746	0	15.237	15.748	16	1275128	0	nu-candidate	12	1	1	1	0	1.724	47.9	39	53.9722	-11.691616	40.601692	0.91709363	-15.0	1.0	0.0	0.7	0.0	1710.9375	171.79648	169.20561	2.5908515	4	82.253815
ncpi0	18255	1	521075	0	9.894	10.348	10	1258820	0	nu-candidate	9	1	1	1	0	1.187	52.2	14	-87.48913	-35.401386	445.37714	-0.14146121	-15.0	1.0	0.0	0.7	0.0	833.5903	4.1443725	0.0	4.1443725	3	8.608986
