event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra
52044	?	24035	58029	9	5	5	4	0	0.5556	1.0000	0.3638	1.0000	0.5335	2565841.5356	933534.9816	1632306.5540	0	8	24007,24009,24034,24035	
52693	?	18034	18034	13	15	13	0	2	1.0000	0.8667	1.0000	0.9631	0.9812	2927114.4247	3039375.3942	0	112260.9696	3		48012,49013
54341	?	96031	96031	5	3	3	2	0	0.6000	1.0000	0.5070	1.0000	0.6728	1673199.0605	848288.7829	824910.2776	0	0	77019,96033	
54341	?	101041	101041	17	18	16	1	2	0.9412	0.8889	0.8569	0.9889	0.9182	6073640.9072	5262925.7232	869057.4165	58342.2325	6	34015	79021,100039
54453	?	57050	57050	6	6	4	2	2	0.6667	0.6667	0.6880	0.9550	0.7998	3483988.4417	2510046.3786	1087007.7450	113065.6819	2	23026,23028	62055,63056
67394	?	19012	58035	11	12	11	0	1	1.0000	0.9167	1.0000	0.9484	0.9735	3365638.8725	3548718.4287	0	183079.5562	2		41015
69232	?	20021	20021	4	6	4	0	2	1.0000	0.6667	1.0000	0.5732	0.7287	1632908.1454	2848903.9456	0	1215995.8003	1		20021,61017
71872	?	13012	13012	1	10	1	0	9	1.0000	0.1000	1.0000	0.7765	0.8742	1074101.5049	1383240.4998	0	309138.9949	10		41020,47026,49028,52031,56035,58037,59038,67053,68054
72786	?	16017	16017	6	10	6	0	4	1.0000	0.6000	1.0000	0.7837	0.8788	1918413.4884	2447742.0213	0	529328.5330	2		9009,31033,46040,51045
74326	?	80061	80061	2	2	2	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	445948.2011	445948.2011	0	0	6		
91917	?	87053	87053	9	8	8	1	0	0.8889	1.0000	0.9354	1.0000	0.9666	2658899.2207	2487088.1182	171811.1025	0	0	66021	
94392	?	5019	5019	3	4	3	0	1	1.0000	0.7500	1.0000	0.9661	0.9828	603086.9820	624248.2077	0	21161.2257	3		21024
98844	?	70063	67046	14	11	9	5	2	0.6429	0.8182	0.8445	0.9019	0.8723	5327316.6276	4988101.7138	828431.8841	489216.9702	4	60037,63040,66043,69062,70063	53030,67046
100135	?	14025	14025	7	7	6	1	1	0.8571	0.8571	0.9084	0.9905	0.9477	3053397.2279	2800368.8670	279728.5874	26700.2266	1	14024	43016
100222	?	113236	113236	68	72	67	1	5	0.9853	0.9306	0.9850	0.9880	0.9865	32229968.8518	32130711.7392	483542.7508	384285.6382	7	14006	68055,69056,74061,76063,80067
168432	?	19032	19032	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	946105.0071	946105.0071	0	0	1		
168432	?	49028	49028	7	7	6	1	1	0.8571	0.8571	0.8977	0.9700	0.9324	3479686.9139	3220266.4421	356007.5893	96587.1176	2	50029	47020
171572	?	85025	85025	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	377378.8003	377378.8003	0	0	2		
173495	?	26021	26021	5	5	5	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1733539.0735	1733539.0735	0	0	1		
