event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra
21073	1 under-clustered	60081	60081	45	38	38	7	0	0.8444	1.0000	0.8848	1.0000	0.9389	12350683.9000	10927297.3000	1423386.6000	0	0	31023,31024,33026,34027,57049,64108,64109	
47212	2 over-clustered	2103	2103	24	25	24	0	1	1.0000	0.9600	1.0000	0.9321	0.9648	7502170.3000	8048963.7000	0	546793.4000	0		2103
47212	2 over-clustered	70038	70038	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1217628.4000	1217628.4000	0	0	0		
54332	2 over-clustered	16014	16014	13	5	4	9	1	0.3077	0.8000	0.5727	0.4896	0.5279	4842458.9000	5664914.8000	2069023.7000	2891479.6000	0	97060,97062,97063,97064,98066,98067,98068,99069,129113	16014
54332	2 over-clustered	122091	122091	15	7	7	8	0	0.4667	1.0000	0.8025	1.0000	0.8904	3725980.8000	2989964.5000	736016.3000	0	0	76038,77039,78040,79041,80042,81043,92054,121084	
64591	1 under-clustered	83044	83044	18	17	17	1	0	0.9444	1.0000	0.9821	1.0000	0.9910	4362256.0000	4284149.9000	78106.1000	0	0	60008	
76346	1+2 both	14059	14059	15	7	4	11	3	0.2667	0.5714	0.6196	0.6311	0.6253	3630265.1000	3564181.6000	1380963.6000	1314880.1000	0	14058,32022,33023,34024,35025,36026,39029,40030,41031,41032,42033	49044,49048,49051
76346	1+2 both	40030	14059	5	7	3	2	4	0.6000	0.4286	0.8985	0.3689	0.5231	1463341.1000	3564181.6000	148461.0000	2249301.5000	8	37027,38028	14013,14019,14059,48037
84229	2 over-clustered	69134	69134	51	50	50	1	0	0.9804	1.0000	0.9569	1.0000	0.9780	17115201.5000	16377166.4000	738035.1000	0	0	9058	
105946	1 under-clustered	55063	55063	21	16	16	5	0	0.7619	1.0000	0.8299	1.0000	0.9070	8153185.3000	6766149.8000	1387035.5000	0	0	35009,53029,53030,53031,54032	
105946	1 under-clustered	56056	56056	5	3	3	2	0	0.6000	1.0000	0.8106	1.0000	0.8954	1011390.9000	819784.7000	191606.2000	0	0	39013,50025	
122660	1 under-clustered	9110	9110	47	37	37	10	0	0.7872	1.0000	0.7391	1.0000	0.8500	23313050.4000	17231043.4000	6082007.0000	0	0	30032,36038,39041,47049,47050,53069,53070,54071,55073,60104	
142421	2 over-clustered	7010	108104	34	43	33	1	10	0.9706	0.7674	0.5399	0.7130	0.6145	12855702.1000	9735694.3000	5914487.0000	2794479.2000	44	7010	48024,50026,56032,79055,107100,107101,108104,108105,108106,108107
166870	1 under-clustered	87058	87058	11	10	10	1	0	0.9091	1.0000	0.9852	1.0000	0.9925	3104741.4000	3058764.6000	45976.8000	0	0	54042	
168596	1 under-clustered	14153	14153	61	61	61	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	24678169.0000	24678169.0000	0	0	20		
169626	1 under-clustered	53069	53069	34	30	30	4	0	0.8824	1.0000	0.7966	1.0000	0.8868	10571564.9534	8421798.6000	2149766.3534	0	0	39039,42042,43043,53070	
