bragg_valid	chain_coverage	cluster_id	comp_bwd0	comp_bwd1	comp_bwd2	comp_bwd3	comp_fwd0	comp_fwd1	comp_fwd2	comp_fwd3	cont_angle_deg	cont_len	cont_mip	contrast	contrast_expected	dead_ahead	dead_frac_cmp	delta_len	dots_charge_unfit	dots_ke_dqdx	entry_vtx_id	entry_x	entry_y	entry_z	event	ext_len	gid	has_pass	in_fv	is_stm	kink_num	ks_flat	ks_mu	michel_conn_type	michel_far_len	michel_found	michel_ke_best	michel_ke_dqdx	michel_ke_range	michel_kink_deg	michel_len	michel_mip	muon_len	n_body_hadron	n_body_other	n_chain_segs	n_cluster_pts	n_cmp_live	n_dead_pts	n_delta	n_dot_clusters_unfit	n_dots	n_ext	n_live_pts	n_michel_segs	n_plateau	n_profile_pts	n_stop_arms	n_tail	pass	plateau_med	ratio_flat	ratio_mu	reject_bits	short_track	stop_dis	stop_vtx_id	stop_x	stop_y	stop_z	t0_us	tagger_stop_x	tagger_stop_y	tagger_stop_z	tail_med
1	-1.0	35	0.0	0.47597894931964896	1.4464963219697045	0.3477505824783578	0.0	0.20145158118562978	0.9278643536436104	0.06063136923001229	-1.0	0.0	0.0	0.9866644558637897	1.9069093448486192	0	0.0	6.611181920020359	0.0	1.3412700529480022	35001	-339.3622067093205	20.39295199925568	116.29928274505285	039252_0	0.0	142	1	1	0	473	0.03908559581491855	0.1311684378636303	2	0.0	0	1.3412700529480022	0.0	0.0	-1.0	0.0	0.0	308.5164877406814	0	0	2	0	59	2	1	0	1	0	503	0	33	505	0	5	0	57915.17742087541	0.8982426924811796	1.1629285116377743	12	0	0.10094090501807859	35000	-90.86054266823376	-41.77373507548999	253.1337966888255	5763.6438068616335	-90.94659278903937	-41.72776317351706	253.10789249526152	57142.84701622287
0	-1.0	74	0.0	1.1043918846864629	2.3696095319767734	0.16816555991477108	0.0	1.2501782545200297	2.5465985179898194	0.16586623823348848	-1.0	0.0	0.0	0.0	0.0	0	0.25	0.0	0.0	0.0	74002	339.90114499129936	-44.565068845770476	52.61742642417603	039252_0	0.0	112	1	0	0	5	0.047639224993341944	0.09847142535276343	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	1.782391026081805	0	0	1	0	3	1	0	0	0	0	3	0	0	4	0	2	0	0.0	0.8894770152234693	2.294870500973737	842	1	2.443317957457845	74000	339.8368475346765	-43.665751103777346	52.46619310301742	4930.401516986706	337.4883869165768	-43.95598402954891	53.074716081440556	66252.68000561537
1	-1.0	75	0.0	0.3350084862875853	1.177577948338812	0.18667649121138788	0.0	0.20749442604578774	0.973777333873079	0.1287302155547017	-1.0	0.0	0.0	0.8938949668773009	1.6833514329857555	0	0.05	8.370527283820234	0.0	0.0	75001	331.9589967374642	-335.74448381364533	4.529763672307537	039252_0	0.0	98	1	1	0	500	0.05402960645288285	0.09468877279525412	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	323.1978453162468	0	1	3	0	57	3	2	0	0	0	540	0	33	543	1	3	0	52713.222273356136	0.9402735649420719	1.1911328084886037	12	0	0.3426775043957953	75012	73.83565604452572	-204.5192829645661	104.72349291476817	4450.029255764801	73.60706814086866	-204.5383317109686	104.97807607913906	47120.08407803748
1	-1.0	76	0.0	0.48096403344258853	1.4457373095826485	0.3407426237051864	1.0	0.023716491826144423	0.6851667384305425	0.14706325254361904	-1.0	0.0	0.0	2.0357551913522416	1.9069093448486192	0	0.0	0.0	0.0	0.464770582211372	76001	339.8957614001282	-175.97001267927902	80.13393647936809	039252_0	0.0	68	1	1	1	575	0.09916089835136399	0.020932912167199724	2	0.0	0	0.464770582211372	0.0	0.0	-1.0	0.0	0.0	362.9237194952746	0	0	3	0	59	0	0	0	1	0	607	0	33	607	0	5	0	55384.51161936775	0.7892420497655488	1.0218085712676441	0	0	0.4053803803782148	76000	7.188672050902392	-266.4982137224532	128.14316254079216	2778.248046363191	7.588389164869886	-266.4384971742858	128.17468103491947	112749.30704963644
1	-1.0	77	0.0	0.36550964660517343	1.2421053733601348	0.2133203872399204	1.0	0.05478212048845022	0.7241324451697838	0.13661684883015585	-1.0	0.0	0.0	1.9610163488295485	1.9069093448486192	0	0.0	0.0	0.0	0.0	77001	249.3494858435747	-336.21083443420935	28.61203949744178	039252_0	0.0	82	1	1	1	198	0.09823502720331256	0.038079199326255836	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	125.69781666584012	0	0	1	0	59	0	0	0	0	0	211	0	33	211	0	5	0	63326.84414145657	0.8072339483586526	1.04510215553786	0	0	0.1658059555033225	77000	144.63720512611263	-277.8683696329233	36.02236923371065	3436.3719772460668	144.7967684405493	-277.8740626421042	36.06707665158315	124184.97668117704
1	-1.0	82	0.0	1.437023326783056	3.004592864657872	1.2538865775134251	1.0	0.09211996220467242	0.7934092605230916	0.10557089080267165	-1.0	0.0	0.0	2.060316379306369	2.0629960248696904	0	0.0	0.0	0.0	0.0	82000	275.21251541173586	-310.1470944807596	298.28206556887125	039252_0	0.0	145	1	1	1	160	0.07667175056460163	0.049975173215748514	1	2.930203645533709	1	13.27087315319089	13.27087315319089	22.266368123070762	39.11181792352215	4.966384523612006	1.137969764028442	107.40000000000012	0	0	1	0	59	5	0	0	0	0	171	2	33	176	1	4	0	53833.856278291634	0.8394108154002943	1.0867606030945447	0	0	0.1355621047540528	82004	179.11309408724276	-302.3855705479334	277.36844404971123	5945.36913767812	179.16946582507188	-302.32131420955096	277.4736601815407	110914.77585138925
1	-1.0	73	0.0	0.6492995603932584	1.7293727850113736	0.5081384164701889	1.0	0.0720178853334495	0.7567031098935806	0.10725167069637008	-1.0	0.0	0.0	1.317767524913686	1.9069093448486192	0	0.0	0.0	0.0	0.0	73000	339.5095125816182	-330.59881354786046	178.00499064410133	039252_10	0.0	108	1	1	1	542	0.07389503523151852	0.046760481964943534	1	7.337629059729248	1	24.727232405904452	24.727232405904452	30.82124995536675	19.36500903203725	2.6285443836483626	1.8773752549462162	351.26731461153264	0	0	5	0	59	7	0	0	0	0	583	2	33	590	1	5	0	58493.509831563024	0.8222512080993625	1.0645445619891738	0	0	0.17384713706618304	73011	36.29578454083878	-232.58781463919846	159.94216894875373	3695.8904007961883	36.133950770786484	-232.53848873111534	159.9821641075676	77080.84767425316
1	-1.0	103	0.0	0.7656821190353474	1.9154105169378641	0.6173340666017302	1.0	0.1101905796088081	0.49118860531595265	0.2183303844786266	-1.0	0.0	0.0	1.9803454108164054	2.0439185138760387	0	0.0	0.0	0.0	0.0	103000	51.94661430417564	196.3569366672013	289.6948258446654	039252_10	0.0	147	1	1	1	209	0.0943564439799518	0.042663980211771424	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	139.75749069330806	0	0	1	0	59	1	0	0	0	0	221	0	33	222	0	4	0	65973.66182710555	0.6988908103580664	0.9033126082992838	0	0	0.3650371203534987	103001	-74.00035043137613	232.00824446949	256.6380101616817	4982.981263436259	-73.69334409140984	232.08580974738433	256.81962192925647	130650.63843406194
1	-1.0	44	1.0	0.6540416391590872	1.738274132572273	0.5251742140940711	1.0	0.13510838014909296	0.43796902100539264	0.24555254342669808	-1.0	0.0	0.0	1.8439342686496616	1.906909344848619	0	0.0	0.0	0.0	0.0	44000	-7.210241130742406	-1.0133438455325727	268.35466767036223	039252_12	0.0	128	1	1	1	238	0.10089933607045332	0.01516904918650347	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	158.82944977190036	0	0	2	0	59	3	0	0	0	0	264	0	33	267	0	5	0	63792.85953169189	0.6733775745846361	0.8718022279912652	0	0	0.191719273032162	44001	-124.0562746762887	-41.58139083649399	193.6817370260319	4020.4604398462625	-124.12970138317465	-41.741886547395666	193.6068642996889	117629.83978564087
1	-1.0	45	0.0	0.22186721958474415	0.9806081370081198	0.09582448781897354	0.0	0.09499305208365232	0.6974509714570711	0.08187907490319439	-1.0	0.0	0.0	1.3338958475771587	2.062996024869682	0	0.0	0.0	0.0	0.0	45001	-297.45548583292117	56.759209999171084	12.593465764492732	039252_12	0.0	194	1	1	0	138	0.017221075929251872	0.09655561823501901	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	86.63175064702757	0	0	1	0	59	0	0	0	0	0	145	0	33	145	0	4	0	69312.57708939543	0.7916314340967952	1.0249020371954216	8	0	0.3635729829268147	45000	-226.86017472799253	22.64336756937732	43.00381740794605	6453.997188173899	-226.7586846034	22.34482381911601	43.18480552276139	92455.75876441627
