arm	evt	hit_base	hit_arm	moved	d_base	d_arm	adverse	rescued	nue_b	nue_a	numu_b	numu_a	agree	transferred	dual_d	has_vertex	off_ms	route
work-pr112i-uniW2-ncpi0	463565	1	1	0	0.3029293989558708	0.3029293989558708	0	0	-15.0	-15.0	-0.4496241509914398	-0.4496241509914398	False	False	2.5894198500793424	True	4836.454445	dl-rerank-reject
work-pr112i-uniW2-ncpi0	506114	1	1	0	5.345788858231711e-06	5.345788858231711e-06	0	0	-15.0	-15.0	-1.0116671323776245	-1.0116671323776245	True	False	0.0	True	11585.419415	dl-rerank-accept
work-pr112i-uniW2-ncpi0	506746	1	1	0	0.20550714433065773	0.20550714433065773	0	0	-15.0	-15.0	1.1115888357162476	1.1115888357162476	True	False	1.5950957954487726	True	5584.658692	dl-rerank-accept
work-pr112i-uniW2-ncpi0	521075	1	1	0	3.7643709806930158e-06	3.7643709806930158e-06	0	0	-15.0	-15.0	-0.202107772231102	-0.202107772231102	True	False	0.0	True	3602.447507	dl-rerank-accept
work-pr112i-uniW2-ncpi0	56982	0	0	0	11.222479131410106	11.222479131410106	0	0	-15.0	-15.0	-0.36244964599609375	-0.36244964599609375	False	False	0.08214121710822542	True	5877.789352	dl-rerank-accept
work-pr112i-uniW2-ncpi0	71372	1	1	0	0.7809658489355208	0.7809658489355208	0	0	-15.0	-15.0	2.62573504447937	2.62573504447937	True	False	0.5135845733606103	True	9749.297156	dl-rerank-accept
work-pr112i-uniW2-ncpi0	84229	0	1	1	98.68486787477221	0.13288256596491105	0	1	0.6870406270027161	-15.0	0.31588587164878845	0.7589010000228882	True	False	0.23865113412807823	True	5495.45207	dl-rerank-accept
work-pr112i-snapD2-noswap-ncpi0	105946	1	1	0	8.53947342025172e-06	8.53947342025172e-06	0	0	-15.0	-15.0	-0.13145321607589722	-0.13145321607589722	True	False	0.0	True	2433.371467	dl-dual-snap-accept
work-pr112i-snapD2-noswap-ncpi0	114446	1	1	0	5.544443418981538e-06	5.544443418981538e-06	0	0	-15.0	-15.0	-2.7398416996002197	-2.7398416996002197	True	True	0.0	True	1176.068707	dl-dual-snap-accept
work-pr112i-snapD2-noswap-ncpi0	142421	1	1	0	0.311446309642894	0.311446309642894	0	0	-15.0	-15.0	3.6016459465026855	3.6016459465026855	True	False	1.1067645053029147	True	6555.6335	dl-dual-snap-accept
work-pr112i-snapD2-noswap-ncpi0	180801	0	0	0	78.96152897012449	78.96152897012449	0	0	-3.2104573249816895	-3.2104573249816895	1.3564549684524536	1.3564549684524536	True	True	1.8695160403005677	True	3256.469604	dl-dual-snap-accept
work-pr112i-snapD2-noswap-ncpi0	18625	1	1	0	1.1825451424597277	1.1825451424597277	0	0	-15.0	-15.0	2.409459352493286	2.409459352493286	True	False	2.3503050527758464	True	3937.035322	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	21073	1	1	0	0.054156420690889925	0.054156420690889925	0	0	-15.0	-15.0	0.9323965311050415	0.9323965311050415	True	False	0.15871772981881233	True	4069.565349	dl-dual-snap-accept
work-pr112i-snapD2-noswap-ncpi0	259542	0	0	0	28.126063282832604	28.126063282832604	0	0	-1.078873634338379	-1.078873634338379	-0.78542160987854	-0.78542160987854	False	False	0.2193537845950307	True	3723.979522	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	285567	1	1	0	0.697778100190765	0.697778100190765	0	0	-15.0	-15.0	0.9874169230461121	0.9874169230461121	True	False	1.523720170262394	True	8738.80809	dl-dual-snap-accept
work-pr112i-snapD2-noswap-ncpi0	314838	1	1	0	0.5562622178486191	0.5562622178486191	0	0	-15.0	-15.0	-0.3140154182910919	-0.3140154182910919	True	False	0.6895141946472451	True	2569.650057	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	359980	0	0	0	27.079751382650485	27.079751382650485	0	0	-15.0	-15.0	-0.29083120822906494	-0.29083120822906494	False	False	0.0	True	2758.251777	dl-dual-snap-reject
work-pr112i-snapD2-noswap-ncpi0	37112	1	1	0	1.9623358666296318	1.9623358666296318	0	0	-2.467849016189575	-2.467849016189575	0.3361494541168213	0.3361494541168213	True	False	2.298336350938066	True	2093.979035	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	399860	1	1	0	2.166648567298672	2.166648567298672	0	0	4.300936222076416	4.300936222076416	0.5341717600822449	0.5341717600822449	True	False	2.5897002012212056	True	6938.410067	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	463565	1	1	0	0.3029293989558708	0.3029293989558708	0	0	-15.0	-15.0	-0.4496241509914398	-0.4496241509914398	False	False	2.5894198500793424	True	3993.924435	dl-dual-snap-reject
work-pr112i-snapD2-noswap-ncpi0	506114	1	1	0	5.345788858231711e-06	5.345788858231711e-06	0	0	-15.0	-15.0	-1.0116671323776245	-1.0116671323776245	True	False	0.0	True	12004.567071	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	506746	1	1	0	0.20550714433065773	0.20550714433065773	0	0	-15.0	-15.0	1.1115888357162476	1.1115888357162476	True	False	1.5950957954487726	True	5017.505121	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	521075	1	1	0	3.7643709806930158e-06	3.7643709806930158e-06	0	0	-15.0	-15.0	-0.202107772231102	-0.202107772231102	True	False	0.0	True	3588.429383	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	56982	0	0	1	11.222479131410106	34.43523150265602	0	0	-15.0	-1.2854422330856323	-0.36244964599609375	1.1116161346435547	True	True	0.08214121710822542	True	4433.54137	dl-dual-snap-accept
work-pr112i-snapD2-noswap-ncpi0	71372	1	1	0	0.7809658489355208	0.7809658489355208	0	0	-15.0	-15.0	2.62573504447937	2.62573504447937	True	False	0.5135845733606103	True	9820.069177	dl-dual-snap-reject-accept
work-pr112i-snapD2-noswap-ncpi0	84229	0	0	0	98.68486787477221	98.68486787477221	0	0	0.6870406270027161	0.6870406270027161	0.31588587164878845	0.31588587164878845	False	False	0.23865113412807823	True	4477.906511	dl-dual-snap-reject-accept
