sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp2k	47036	18259	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				17.164	1.152	385692	{"10:1000000": "-1,-1,-1", "11:2": "-1,-1,-1", "12:1000006": "0,1,0", "4:1000004": "-1,-1,-1", "5:1000005": "-1,-1,-1", "6:8": "-1,-1,-1", "7:1000002": "-1,-1,-1", "8:0": "-1,-1,-1", "9:4": "-1,-1,-1"}
mcp2k	47058	18259	0	1	11	39.5772	119.274	99.9879	1058	258	1	0	178.646	1.02943	2.86646	0.0305085	0	nan	nan	0	0	0	0	54325	287	0.250965	4.41729e+07	1	1.72188	455.843	0.41933	414.22	nu-candidate	1	2.2368555	-15.0	532.20294	24.664	7.247	1206936	{"10:0": "-1,-1,-1", "11:5": "0,0,1", "12:1000004": "-1,-1,-1", "2:1000003": "-1,-1,-1", "3:1000010": "-1,-1,-1", "5:1": "-1,-1,-1", "6:1000001": "-1,-1,-1", "7:9": "-1,-1,-1", "8:1000000": "-1,-1,-1", "9:6": "-1,-1,-1"}
mcp2k	47212	18259	0	1	1	-153.41	-119.306	202.936	423	93	3	0	80.204	1.03328	0.232508	0.137321	80.204	1.03328	0.232508	80.204	0	80.204	0	nan	0	0.320551	3.75104e+07	1	696.584	-1	-1	-1	nu-candidate	1	0.002129168	-2.1827517	1311.7168	30.677	10.562	1249548	{"10:1000010": "-1,-1,-1", "12:1000013": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:1000009": "-1,-1,-1", "17:4": "-1,-1,-1", "18:2": "-1,-1,-1", "19:7": "-1,-1,-1", "1:0": "0,0,0", "20:1000003": "-1,-1,-1", "21:17": "-1,-1,-1", "22:10": "-1,-1,-1", "23:3": "-1,-1,-1", "3:6": "-1,-1,-1", "5:5": "-1,-1,-1", "7:1000000": "-1,-1,-1", "8:1000004": "-1,-1,-1"}
mcp2k	47278	18259	0	1	6	-84.5274	161.808	202.622	593	141	4	0	84.2864	1.01914	0.10904	0.0217957	0	nan	nan	0	0	0	0	62881.6	60	0.06181	2.93982e+07	1	6.93496	293.008	0.925586	124	nu-candidate	1	2.014507	-15.0	820.7567	17.174	6.245	1208776	{"10:1000006": "-1,-1,-1", "12:1000008": "-1,-1,-1", "13:7": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:1000001": "-1,-1,-1", "16:3": "-1,-1,-1", "17:13": "-1,-1,-1", "18:4": "-1,-1,-1", "19:0": "-1,-1,-1", "2:10": "-1,-1,-1", "4:8": "-1,-1,-1", "6:6": "0,0,1", "7:2": "-1,-1,-1", "8:5": "-1,-1,-1"}
mcp2k	47608	18259	0	0																						nan	nan		nan	nan	nan	nan	no-bundle	0				20.200	0.939	371536	{"-1:1000008": "-1,-1,-1", "11:1000010": "-1,-1,-1", "12:1000006": "-1,-1,-1", "14:1000007": "-1,-1,-1", "15:1000011": "-1,-1,-1", "16:1000001": "-1,-1,-1", "1:2": "-1,-1,-1", "3:0": "-1,-1,-1", "5:1": "-1,-1,-1", "6:1000003": "-1,-1,-1", "7:1000009": "-1,-1,-1", "8:1000016": "-1,-1,-1"}
mcp2k	47696	18259	0	1	16	143.75	7.36181	402.051	141	30	1	0	20.1646	1.06264	0.315711	0.0909091	0	nan	nan	0	0	0	0	nan	0	0.41541	7.22212e+06	0	0	-1	-1	-1	cosmic-tagged	1	-1.118294	-1.1504549	113.84942	19.026	5.627	1173372	{"10:1": "-1,-1,-1", "11:1000002": "1,0,0", "12:1000000": "-1,-1,-1", "3:2": "-1,-1,-1", "4:4": "-1,-1,-1", "6:1000006": "-1,-1,-1", "8:1000005": "-1,-1,-1", "9:0": "-1,-1,-1"}
mcp2k	47784	18259	0	1	17	56.2589	-76.3797	113.81	1040	210	3	0	250.88	1.02291	0.769452	0.105812	218.094	1.02196	0.870248	218.094	218.094	218.094	0	50541.2	354	0.0714625	6.15243e+07	0	0	1169.81	0.714648	502.284	nu-candidate	1	3.8990033	-15.0	952.69116	19.875	7.220	1174896	{"10:1000009": "-1,-1,-1", "12:1000007": "-1,-1,-1", "13:1000014": "-1,-1,-1", "15:1000003": "-1,-1,-1", "16:4": "-1,-1,-1", "17:1000005": "0,0,0", "18:1000002": "-1,-1,-1", "19:1": "-1,-1,-1", "20:1000008": "-1,-1,-1", "3:5": "-1,-1,-1", "6:1000001": "-1,-1,-1", "8:1000011": "-1,-1,-1"}
mcp2k	47894	18259	0	1	12	179.318	-93.5119	29.7975	5	3	1	1	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.323037	423608	1	4.12229	-1	-1	-1	nu-candidate	1	-1.7224336	-15.0	125.802734	19.317	5.411	1163472	{"10:1000006": "-1,-1,-1", "12:1000003": "0,0,1", "15:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:1000001": "-1,-1,-1", "18:5": "-1,-1,-1", "19:1": "-1,-1,-1", "20:1000000": "-1,-1,-1", "2:3": "-1,-1,-1", "3:9": "-1,-1,-1", "6:1000007": "-1,-1,-1", "8:1000009": "-1,-1,-1"}
mcp2k	47916	18259	0	1	11	39.4851	193.905	262.479	219	57	2	0	33.7598	1.03728	0.734375	0.0367413	0	nan	nan	0	0	0	0	53350.7	25	0.00276505	9.81141e+06	0	0	-1	-1	-1	nu-candidate	1	2.8441863	-15.0	325.89056	16.959	5.360	1131080	{"10:1000002": "-1,-1,-1", "11:1000006": "0,0,0", "12:2": "-1,-1,-1", "13:3": "-1,-1,-1", "14:1000012": "-1,-1,-1", "1:11": "-1,-1,-1", "4:1": "-1,-1,-1", "5:1000000": "-1,-1,-1", "8:1000001": "-1,-1,-1"}
mcp2k	47982	18259	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				14.605	1.007	352460	{"10:3": "-1,-1,-1", "11:1000003": "-1,-1,-1", "12:7": "1,0,0", "2:6": "-1,-1,-1", "3:1000009": "-1,-1,-1", "5:1000007": "-1,-1,-1", "6:1000006": "-1,-1,-1", "7:1000005": "-1,-1,-1", "8:1000000": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
