arm	event	block	npts	ngood	length	has_left	f_low	nbins	k	shape	contrast	qneg	holes
base	039252_0	750	496	490	320.0863	1	0.0286	8	1.0677	0.0478	1.3966	16	1
base	039252_0	760	555	555	360.0382	0	0.0036	8	1.1498	0.0474	2.1998	2	0
base	039252_0	770	188	188	121.9077	0	0.0000	8	1.1437	0.1125	1.6302	0	0
base	039252_0	830	173	163	109.5714	1	0.0552	7	1.0401	0.0731	2.3292	8	2
base	039252_0	980	601	600	393.0293	1	0.0750	8	1.0193	0.4998	0.9427	25	3
base	039252_1	290	284	283	181.5948	0	0.0389	8	0.9268	0.1901	1.0852	8	2
base	039252_1	300	231	212	145.5638	1	0.0000	8	1.1198	0.1440	1.8267	0	0
base	039252_1	1140	810	807	553.4547	0	0.0186	4	0.5891	1.1157	nan	13	2
base	039252_10	740	526	515	339.6911	1	0.0000	8	1.1345	0.0466	1.5565	0	0
base	039252_10	1010	202	202	139.1986	0	0.0792	7	1.1754	0.0552	1.9268	12	3
base	039252_11	270	299	299	202.3767	0	0.0401	5	0.7430	0.3653	nan	7	1
base	039252_12	360	234	234	150.1832	0	0.0128	8	1.1419	0.0596	2.0752	0	0
base	039252_12	400	133	133	86.5818	0	0.0075	8	0.9854	0.1608	0.4148	0	0
base	039252_12	930	234	234	151.8284	0	0.0171	8	1.2235	0.0548	0.8964	3	0
base	039252_12	960	189	189	124.1233	0	0.0000	8	1.0587	0.0997	2.6210	0	0
base	039252_12	1100	91	91	57.9679	0	0.1429	7	0.6741	0.5469	0.2591	7	1
base	039252_12	1170	400	381	259.7609	1	0.0052	8	1.0070	0.2017	1.1837	6	1
base	039252_13	690	827	812	532.5295	1	0.0025	8	0.9525	0.1621	1.8563	1	0
base	039252_13	700	421	421	273.1108	0	0.0000	8	1.0455	0.0712	3.1932	0	0
base	039252_14	370	162	148	107.1548	1	0.0338	8	1.0351	0.0413	1.5829	14	2
base	039252_14	390	330	330	212.4465	0	0.0030	8	0.9868	0.1869	0.6170	1	0
base	039252_14	670	142	138	122.4104	0	1.0000	7	0.0482	0.6783	2.3301	140	2
base	039252_14	800	463	463	305.8329	0	0.0367	8	0.8406	0.1905	0.3116	11	1
base	039252_14	860	170	164	105.7011	1	0.0061	8	0.9975	0.0939	1.4967	2	0
base	039252_15	310	145	145	93.6237	0	0.0069	8	1.1155	0.2145	2.2981	0	0
base	039252_15	330	49	47	29.9946	1	0.0000	6	0.8233	0.1579	0.7278	0	0
base	039252_15	880	301	301	191.1247	0	0.0100	8	1.3385	0.1423	0.7585	2	0
base	039252_15	890	49	49	31.0744	0	0.0204	6	0.9887	0.1697	3.3344	0	0
base	039252_15	940	286	280	182.8269	1	0.0071	8	1.1207	0.0741	1.9093	1	0
base	039252_16	300	421	414	274.0842	1	0.0024	7	1.0282	0.1793	0.8925	4	0
base	039252_16	310	316	316	199.9294	0	0.0032	8	0.9534	0.2521	0.8951	0	0
base	039252_16	400	113	113	72.8047	0	0.0000	8	1.1576	0.0571	2.0743	0	0
base	039252_16	761	633	632	424.9521	0	0.0411	8	0.9048	0.2008	0.2279	15	2
base	039252_16	800	173	162	108.9282	0	0.3210	8	0.8565	0.8470	0.0444	57	6
base	039252_16	990	470	452	296.7129	1	0.0111	8	1.1661	0.0635	1.7441	8	1
base	039252_16	1040	45	24	27.6807	1	0.0000	4	1.1660	0.0873	nan	4	1
base	039252_16	1140	242	237	153.6521	1	0.0000	8	1.1367	0.0729	1.9779	3	1
base	039252_16	1170	289	288	184.3552	0	0.2535	8	0.0815	0.9600	2.0706	63	4
base	039252_16	1270	785	783	509.0498	0	0.0204	7	0.9786	0.1751	0.9724	15	1
base	039252_17	940	102	98	64.4293	1	0.0204	8	1.0616	0.1540	0.4692	2	0
base	039252_2	360	65	64	38.8755	0	0.0000	7	0.9768	0.4078	0.5975	1	0
base	039252_2	510	71	50	45.4644	1	0.0200	7	1.0858	0.1727	1.3364	0	0
base	039252_2	900	101	99	65.1113	1	0.0101	8	1.0378	0.0620	1.9185	1	0
base	039252_2	1140	137	137	91.1580	0	0.0730	8	0.8098	0.2314	0.5138	4	0
base	039252_3	400	409	409	263.3954	0	0.0024	8	1.0992	0.0520	1.1929	1	0
base	039252_3	770	355	345	226.0153	1	0.0435	8	1.1353	0.0561	1.6248	12	3
base	039252_3	830	49	49	30.8978	0	0.0000	6	1.0966	0.0377	1.8323	0	0
base	039252_3	850	219	219	136.6829	0	0.0046	8	1.1010	0.0770	1.2248	0	0
base	039252_3	890	133	129	85.1011	1	0.0078	8	1.0531	0.1090	2.8938	0	0
base	039252_3	1030	260	256	161.5418	0	0.5703	8	0.1212	0.9760	0.7807	124	10
base	039252_4	551	226	226	146.7973	0	0.0619	8	0.5676	0.6132	0.4550	7	1
base	039252_4	1040	396	396	255.7047	0	0.0253	8	0.6508	0.5292	1.3762	3	1
