arm	event	block	npts	ngood	length	has_left	f_low	nbins	k	shape	contrast	qneg	holes
base	028084_0	910	99	99	60.1529	0	0.0000	8	1.0504	0.3257	0.9242	0	0
base	028084_0	970	105	90	66.1924	1	0.0000	8	1.1069	0.0838	1.6028	0	0
base	028084_0	1170	507	507	327.0159	0	0.0000	8	0.7555	0.4509	0.7574	0	0
base	028084_1	330	656	655	409.6764	1	0.1344	8	0.7322	0.2457	2.4959	80	2
base	028084_1	390	281	275	178.8482	0	0.4545	8	0.3479	0.4295	0.2663	90	13
base	028084_1	480	52	51	33.7463	0	0.1569	6	0.5933	0.3749	2.1885	6	0
base	028084_1	530	290	290	184.7279	0	0.4517	8	0.1956	0.5020	1.7935	79	6
base	028084_1	600	128	128	82.8560	0	0.0000	8	0.8357	0.2402	1.0057	0	0
base	028084_1	1420	317	302	204.0370	1	0.0000	8	1.0435	0.0896	1.8378	0	0
base	028084_10	1090	872	872	567.4542	0	0.0138	8	1.1300	0.1335	0.3382	11	1
base	028084_11	340	388	386	240.9726	0	0.4456	8	0.2584	0.5556	0.3690	147	10
base	028084_11	590	286	285	180.2694	0	0.0140	8	1.0254	0.0967	2.7892	4	1
base	028084_11	1100	237	237	150.4626	0	0.0042	8	1.1787	0.2130	3.8088	0	0
base	028084_11	1300	108	108	71.0016	0	0.0000	8	0.9937	0.2539	0.9279	0	0
base	028084_12	330	227	227	148.6439	0	0.1850	8	0.5340	0.3388	1.1136	15	2
base	028084_12	370	107	107	65.7617	0	0.8411	8	0.1843	0.4003	0.3663	63	7
base	028084_12	460	262	262	169.1953	0	0.0573	8	0.8440	0.3196	1.0434	10	1
base	028084_12	760	453	453	284.4275	0	0.3046	8	0.8501	0.5086	0.8439	88	13
base	028084_12	1010	672	652	439.2217	1	0.0000	8	1.1099	0.1161	1.0295	0	0
base	028084_12	1310	59	59	51.4772	0	0.5593	6	0.3129	0.5244	7.2003	19	3
base	028084_12	1320	687	667	439.1787	1	0.0060	7	1.0994	0.0760	1.9648	2	0
base	028084_13	1090	312	312	198.8903	0	0.0192	7	0.8949	0.1407	0.5787	5	1
base	028084_13	1190	43	43	27.5481	0	0.3953	6	0.2828	0.5148	0.2246	11	1
base	028084_14	290	238	236	148.1114	0	0.3008	8	0.2438	0.8536	0.3023	62	4
base	028084_14	830	701	701	463.7575	0	0.0371	3	0.4998	1.2981	2.9106	20	2
base	028084_15	240	89	89	55.4560	0	0.6067	8	0.2978	0.5921	0.2109	38	4
base	028084_15	280	79	78	49.1998	0	0.2051	8	0.5743	0.7779	nan	12	3
base	028084_15	310	60	58	35.8227	0	0.8448	7	0.2001	0.4255	0.0505	41	3
base	028084_15	470	180	140	111.4748	1	0.4286	9	0.4622	0.3757	1.7049	57	6
base	028084_15	500	363	363	233.4496	0	0.0716	8	0.3130	0.9547	1.3037	24	2
base	028084_16	470	206	206	131.3535	0	0.0388	8	0.6503	0.5543	0.2039	5	1
base	028084_16	1020	202	198	125.8260	0	0.0758	7	0.5132	0.6654	1.5535	15	2
base	028084_16	1060	659	658	427.2530	0	0.0350	7	0.6853	0.6739	0.1329	17	4
base	028084_16	1100	207	207	134.7685	0	0.0531	7	0.5552	1.0877	0.0930	11	1
base	028084_17	290	324	324	204.0983	0	0.0710	8	0.5793	0.4166	1.2963	12	2
base	028084_17	350	507	505	314.7611	0	0.5089	8	0.4523	1.0270	1.5905	193	21
base	028084_17	380	74	64	153.4962	0	0.6094	2	0.0819	0.2043	nan	30	4
base	028084_17	550	566	550	361.9162	1	0.0782	8	1.0094	0.2385	2.4757	42	4
base	028084_17	970	538	516	346.2400	1	0.0174	8	0.6960	0.4878	0.9736	2	0
base	028084_18	1040	550	550	350.3522	0	0.0036	9	0.9962	0.0644	2.4302	0	0
base	028084_18	1080	132	132	88.3771	0	0.0000	7	0.9966	0.0492	2.4526	0	0
base	028084_18	1220	272	272	180.6495	0	0.0294	8	0.5138	0.9443	0.8253	6	1
base	028084_19	590	428	428	274.7743	0	0.0047	7	1.0716	0.0555	3.1958	0	0
base	028084_19	610	107	107	67.5478	0	0.0841	8	0.7844	0.4105	0.9881	0	0
base	028084_2	190	506	506	330.6494	0	0.0949	8	1.0314	0.0881	3.2800	22	4
base	028084_2	200	231	224	145.2550	1	0.0938	8	1.0166	0.2401	1.1409	8	1
base	028084_2	260	139	93	85.9435	1	0.4624	9	0.3706	0.6328	2.6865	47	7
base	028084_2	490	234	232	150.4841	1	0.0000	7	1.0037	0.2839	0.5602	0	0
base	028084_2	661	52	52	32.5030	0	0.0385	7	1.0534	0.4756	0.8127	0	0
base	028084_2	1160	228	228	144.1768	0	0.0132	8	0.8169	0.6871	0.4226	0	0
base	028084_20	200	380	378	253.1475	0	0.1693	7	0.4936	0.7412	0.5331	29	6
base	028084_20	260	170	167	107.2670	0	0.7006	8	0.2029	0.3895	1.0955	94	9
base	028084_20	1070	186	171	117.8127	1	0.0000	8	1.1264	0.0734	1.8432	0	0
base	028084_20	1160	304	304	191.9691	0	0.0000	7	1.0505	0.0594	2.5507	0	0
base	028084_20	1240	344	344	223.4686	0	0.0203	8	1.1231	0.0236	2.5305	7	1
base	028084_21	200	21	14	12.3090	0	0.5714	2	0.2228	0.0548	nan	12	1
base	028084_21	270	205	205	130.6913	0	0.1317	8	0.7893	0.4910	0.1816	17	3
base	028084_21	550	238	238	151.1063	0	0.0798	8	1.0998	0.0716	2.7685	7	1
base	028084_21	560	413	413	260.5024	0	0.0000	8	0.7399	0.1817	1.5635	0	0
base	028084_21	1200	511	511	330.4577	0	0.0333	7	1.0954	0.0842	3.1000	8	1
base	028084_21	1320	290	277	191.0678	1	0.0000	8	1.1094	0.0467	2.1396	0	0
base	028084_21	1340	438	438	280.6008	0	0.7420	8	0.2155	0.6087	1.1819	242	11
base	028084_22	30	272	272	173.3015	0	0.1434	8	0.6031	0.4607	0.7012	18	1
base	028084_22	440	410	410	268.6734	0	0.0634	8	1.0748	0.0451	1.9770	14	1
base	028084_23	450	865	853	569.1829	0	0.1336	7	0.0707	0.7502	nan	98	7
base	028084_23	460	105	105	67.1955	0	0.6190	8	0.1827	0.8402	3.4937	55	2
base	028084_23	510	533	527	342.1084	1	0.0114	8	1.0048	0.0509	2.4728	2	0
base	028084_23	530	95	95	58.9977	0	0.1053	8	0.8309	0.2985	0.6663	6	1
base	028084_23	1130	137	137	88.0438	0	0.0219	7	1.0017	0.2420	2.8160	2	0
base	028084_23	1140	312	308	200.3549	1	0.0097	8	1.1288	0.0984	2.0614	1	0
base	028084_23	1220	103	103	63.0657	0	0.0000	8	0.8318	0.1735	1.3142	0	0
base	028084_23	1250	1159	1159	746.9780	0	0.0086	8	1.0026	0.0555	1.9756	3	0
base	028084_24	471	35	33	51.3889	0	0.9394	3	0.1342	0.3533	1.8961	27	1
base	028084_24	490	410	410	260.9980	0	0.0073	8	1.0221	0.2293	3.5774	0	0
base	028084_24	520	107	107	68.7839	0	0.0000	8	1.0820	0.0867	2.6291	0	0
base	028084_24	650	260	260	165.6834	0	0.0115	8	0.8206	0.2427	0.6173	1	0
base	028084_24	1030	623	623	394.9212	0	0.0032	8	0.8824	0.1749	0.5214	0	0
base	028084_24	1110	251	237	159.8480	1	0.0084	7	0.9429	0.0808	1.6754	1	0
base	028084_24	1360	39	37	23.4799	1	0.0000	6	0.4585	0.3745	1.3977	0	0
base	028084_25	360	278	272	176.5260	1	0.0000	8	1.0891	0.0875	1.8221	0	0
base	028084_25	390	262	262	166.2882	0	0.0496	7	0.8779	0.2897	0.1255	9	2
base	028084_25	840	265	265	171.8461	0	0.0000	8	1.0168	0.2128	2.8821	0	0
base	028084_26	410	235	232	148.5449	1	0.0991	8	0.9924	0.1354	2.7995	10	1
base	028084_26	940	431	431	273.8772	0	0.0093	8	1.0014	0.0594	2.5426	2	0
