label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	4.69689	5.30425	3.97954	0.161349	15.8367	1.28419	0.977415	4	6.129	3.21	4.69689e-07	3.97954
all	share	U	6.88033	3.7761	3.59133	0.124015	12.8976	0.890759	0.162427	4	6.129	3.21	6.88033e-07	3.59133
all	rms	V	-3.47107	5.42454	3.87683	0.183259	15.0298	1.42093	3.55636	4	6.129	2.717	-3.47107e-07	3.87683
all	share	V	5.72938	4.05889	3.122	0.167032	9.74686	1.04295	1.33911	4	6.129	2.717	5.72938e-07	3.122
all	rms	W	15.1866	10.2694	2.69253	0.434442	7.2497	2.33949	12.2576	4	6.129	1.46	1.51866e-06	2.69253
all	share	W	13.0292	4.33855	1.11804	0.368813	1.25	0.824692	9.10214	4	6.129	1.46	1.30292e-06	1.11804
all	rms	U(joint)	2.44253	3.55764	4.03871	0.12152	16.3112	0.981572	19.7004	14	6.129	3.21	2.44253e-07	4.03871
all	rms	V(joint)	2.44253	3.55764	3.69376	0.141836	13.6438	1.04782	19.7004	14	6.129	2.717	2.44253e-07	3.69376
all	rms	W(joint)	2.44253	3.55764	3.12466	0.218374	9.76348	1.36469	19.7004	14	6.129	1.46	2.44253e-07	3.12466
all	share	U(joint)	8.27633	2.33153	3.55221	0.0933696	12.6182	0.663338	12.3342	14	6.129	3.21	8.27633e-07	3.55221
all	share	V(joint)	8.27633	2.33153	3.02927	0.120626	9.17645	0.730816	12.3342	14	6.129	2.717	8.27633e-07	3.02927
all	share	W(joint)	8.27633	2.33153	1.42395	0.199179	2.02763	0.567241	12.3342	14	6.129	1.46	8.27633e-07	1.42395
apa:apa0	rms	U	12.7954	11.9736	4.117	0.376589	16.9497	3.10083	1.28231	4	6.129	3.21	1.27954e-06	4.117
apa:apa0	share	U	11.0118	8.43426	3.6513	0.286718	13.332	2.09379	1.59696	4	6.129	3.21	1.10118e-06	3.6513
