run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
711	20	2	0	0	8	2	2	same	1	0	0	97.3	0	0	-132.23	131.90	440.34	0	647.5	3.4721	-15.0000	4	0	1	0	0	0	4	1	numu	RES	CC	1515.5	395.9	1.154	0.40		1.2891	6512.0	0	8	1	0	0	0	1	0
711	20	5	0	0	1	5	5	same	1	0	0	282.8	0	0	-126.18	81.20	226.65	0	819.4	3.8934	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	1618.4	657.9	0.561	0.43		0.6998	15180.6	0	1	1	0	0	0	13	12
711	20	13	0	0	0	61	12	not_in_act	1	0	1	168.1	0	0	-30.08	49.39	345.91	0	1203.2	0.1139	-15.0000	4	0	1	0	0	0	2	1	numu	MEC	CC	1262.3	1059.5	1.322	0.63		1.4581	18293.4	0	0	1	1	0	0	10	9
711	20	25	0	0	3	8	8	same	1	0	1	34.5	0	0	-159.05	153.06	351.57	0	491.0	-0.0706	-7.3791	8	0	0	1	0	0	1	0	numu	DIS	CC	811.6	553.8	0.113	0.07		0.2486	12236.3	0	3	1	0	1	1	7	6
711	20	28	0	0	5	4	4	same	2	0	0	34.4	0	0	-195.82	-106.14	453.82	0	510.4	0.2999	-15.0000	4	0	1	0	0	0	2	1	numu	RES	CC	1165.4	239.7	1.228	23.22		1.3593	25595.8	0	5	1	0	0	0	3	1
711	20	42	0	0	9	18	18	same	4	0	0	19.0	0	0	-52.29	195.33	90.25	0	467.3	-0.8431	-15.0000	6	1	1	0	0	1	2	0	numu	DIS	CC	1072.7	40.4	0.211	221.58		0.3471	2042.1	0	9	1	0	0	0	30	26
711	60	5	0	0	1000001	12	12	same	2	0	0	155.4	0	0	156.32	-76.48	359.96	0	1290.7	1.6976	-15.0000	4	0	1	0	0	0	1	0	numu	DIS	NC	5328.7	1285.5	0.695	61.34		0.8301	47066.7	1	1000001	1	0	0	0	30	28
711	79	6	0	0	1000006	9	9	same	2	0	1	16.7	0	0	3.24	0.15	239.29	0	106.2	-1.3883	-15.0000	8	0	0	1	0	0	1	0	numu	RES	CC	496.6	261.7	0.37	3.24		0.5038	4504.1	1	8	1	0	0	0	4	2
711	79	7	0	0	8	14	14	same	2	0	0	84.0	0	0	-49.37	130.99	417.79	0	333.0	2.3868	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	2049.0	281.0	0.738	0.98		0.8761	4522.4	0	8	1	0	0	0	4	2
711	79	10	0	0	1000000	13	13	same	2	0	0	61.8	0	0	112.38	43.74	453.22	0	1261.4	1.9309	0.4834	4	0	1	0	0	0	1	0	numu	DIS	CC	3630.9	1048.2	0.587	0.71		0.7250	25781.1	1	15	1	0	1	1	15	13
711	79	13	0	0	1000010	15	15	same	2	0	1	102.8	0	0	0.64	-14.37	494.66	0	369.5	2.3115	-15.0000	6	1	1	0	0	1	1	0	numu	RES	CC	1813.1	979.3	0.244	636.64		0.5952	4792.0	1	1000010	1	0	0	0	3	1
711	79	16	0	0	1000000	18	18	same	1	0	1	83.2	0	0	76.53	38.31	56.73	0	591.9	1.1821	-8.6797	8	0	0	1	0	0	3	0	numu	RES	NC	2262.9	828.3	1.047	1.25		1.1839	16902.5	1	11	1	0	1	1	19	18
711	79	24	0	0	1000006	26	26	same	14	0	1	136.3	0	0	44.88	48.67	238.31	0	523.9	2.3251	-9.6994	4	0	1	0	0	0	2	1	numu	RES	CC	875.5	626.7	0.75	1.06		0.8859	8443.8	1	11	1	0	1	1	15	1
711	79	27	0	0	1000000	5	5	same	1	0	0	147.9	0	0	177.91	-18.55	357.52	0	513.3	3.0454	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	1952.7	455.8	0.564	3.20		0.7011	13060.9	1	1000000	1	0	0	0	4	3
