run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
18265	1	134814	0	0	1000006	14	14	same	1	0	0	2.6	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		0.6890	4321.5	1	4	0	0	0	0	1	0
18265	1	135188	0	0	1000004	17	17	same	1	0	0	1.6	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		1.5465	4091.8	1	7	0	0	0	0	1	0
18265	1	136200	0	0	6	30	30	same	8	1	0	113.7	1	1	-136.65	199.53	195.50	0	444.8	-2.8950	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		2.0786	9207.2	0	6	1	0	0	0	8	0
18269	1	197314	0	0	1000002	5	5	same	2	0	0	15.0	1	1	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		0.9208	11719.5	1	1000002	0	0	0	0	6	4
18269	1	203540	0	0	8	17	17	same	3	0	0	60.9	0	0	-63.19	194.41	210.99	0	318.2	-0.9120	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		1.9426	3080.9	0	8	1	0	0	0	3	0
18269	1	206378	0	0	1000012	14	14	same	1	0	1	4.5	0	0	111.01	169.97	252.12	0	144.3	-2.0926	-15.0000	10	1	0	1	0	1	0	-1				-1	-1	-1	-1		1.0500	1761.3	1	1000012	1	0	0	0	4	3
18269	1	207236	0	0	7	10	10	same	7	0	0	41.8	0	0	-32.30	199.58	152.56	0	255.9	-0.7034	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		0.9263	1768.1	0	7	1	0	0	0	10	3
18275	1	2677	0	0	1000002	13	13	same	4	0	0	397.9	1	2	3.81	-163.31	271.17	0	1291.2	1.0244	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		0.7461	19585.1	1	4	1	0	0	0	9	5
18275	1	3491	0	0	1000009	14	14	same	1	0	0	1.8	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		1.5067	317.0	1	2	0	0	0	0	1	0
18275	1	4019	0	0	5	3	3	same	1	0	0	2.2	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		0.6037	10836.7	0	5	0	0	0	0	1	0
18275	1	16141	0	0	1000007	3	3	same	1	0	0	5.1	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		1.1711	225.9	1	3	0	0	0	0	1	0
18275	1	17813	0	0	3	19	19	same	2	0	0	429.8	1	1	-2.08	196.99	204.03	0	1188.9	3.0990	-15.0000	10	1	0	1	0	1	0	-1				-1	-1	-1	-1		1.3480	24128.9	0	3	1	0	0	0	7	5
18279	1	173006	0	0	1	2	2	same	1	0	0	1.2	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		0.2918	17220.2	0	1	0	0	0	0	1	0
18279	1	173864	0	0	1000013	21	21	same	2	0	0	137.3	0	0	101.55	121.79	-0.52	0	582.2	-1.6805	-15.0000	10	1	0	1	0	1	0	-1				-1	-1	-1	-1		2.0150	6919.1	1	12	1	0	0	0	11	9
18279	1	177186	0	0	5	2	2	same	1	0	0	1.4	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		0.7299	2289.2	0	5	0	0	0	0	1	0
18279	1	178440	0	0	5	18	18	same	5	1	0	24.1	1	1	-132.31	124.31	3.17	0	280.9	-1.1828	-15.0000	10	1	0	1	0	1	0	-1				-1	-1	-1	-1		2.1430	4183.2	0	5	1	0	0	0	11	6
18279	1	178792	0	0	4	11	11	same	2	0	0	463.8	1	1	-138.34	164.30	74.16	0	1341.0	1.8437	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		1.3091	14678.0	0	4	1	0	0	0	8	6
18279	1	183456	0	0	6	4	4	same	1	0	0	1.9	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		1.0267	9622.6	0	6	0	0	0	0	1	0
18279	1	185502	0	0	1	7	7	same	4	0	0	490.6	0	0	-167.57	199.44	93.25	0	1332.6	-2.4932	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		2.0734	21001.3	0	1	1	0	0	0	20	16
18279	1	187328	0	0	1	9	9	same	2	0	1	8.4	0	0	-180.07	38.12	326.17	0	210.6	-1.2215	-15.0000	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		0.3836	8211.9	0	1	1	0	0	0	6	4
18346	1	14222	0	0	1000001	6	6	same	1	0	0	1.2	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		1.4870	17173.8	1	1000001	0	0	0	0	1	0
18346	1	17302	0	0	6	25	25	same	12	1	1	20.2	1	2	-14.46	58.30	146.03	0	278.5	-1.3642	-15.0000	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		1.3878	16229.8	0	6	1	0	0	0	17	5
18346	1	18358	0	0	3	19	19	same	10	1	0	34.6	1	3	44.19	194.55	242.75	0	645.7	-0.1865	-15.0000	10	1	0	1	0	1	0	-1				-1	-1	-1	-1		1.8082	18079.7	0	3	1	0	0	0	16	6
