# doc pdvd/98 -- STM+Michel candidates for the drift-regressor validation (d98_michel_crops.py --census)
# PDHD h28prod pop strict, record /nfs/data/1/xqian/toolkit-dev/wcp-porting-img/pdhd/docs/scan/pdhd_stm_michel_smx27_verdicts.json; PDVD p98vonq record /nfs/data/1/xqian/toolkit-dev/wcp-porting-img/pdvd/docs/scan/pdvd_stm_michel_smx9_carried_p98vonq.json
# selected=1 rows are cropped; `why` names the first failed rule; d97 = doc pdvd/97 showcase class
det	key	kind	source	conn_type	ratio	muon_len	michel_len	ke_best	ke_region	kink_deg	q2d_raw_w	q2d_mu_w	q2d_ovl	n_stop_gammas	n_dots	t0_us	stop_x	stop_y	stop_z	apa	face	n_apaface	d97	selected	why
pdhd	028084_0/97	attached	owner	1	1.07	62.03	8.4	30.47	56.97	69.47	9.369e+05	3.326e+05	0.355	0	1	-2051	23.99	548.4	53.63	1	1	1	attached	1	
pdhd	028084_1/142	attached	owner	1	1.018	201.4	10.8	31.16	53.48	30.1	9.077e+05	1.304e+05	0.1437	0	1	-263.5	51.61	408.8	302.5	3	1	1	attached	1	
pdhd	028084_17/97	both	owner	1	1.111	355.3	14.32	40.73	62.96	77.02	1.339e+06	1.266e+06	0.9458	0	0	-398.8	275.7	290.1	34.97	1	1	1		1	
pdhd	028084_18/108	both	owner	1	0.8305	88.94	18.48	23.42	79.91	130.8	1.57e+06	1.638e+05	0.1043	0	0	30.63	25.4	536.2	248	3	1	1		1	
pdhd	028084_23/51	both	owner	1	1.156	348.2	4.433	14.25	25.15	109.9	3.948e+05	1.839e+05	0.4658	0	0	-28.12	-291.3	321.4	256.5	2	0	1		1	
pdhd	028084_26/109	both	owner	2	0.9108	49.47	0.04379	3.68	11.53	-1	7.27e+04	0	0	0	2	-1359	72.28	101.9	436.1	3	1	1		1	
pdhd	028084_4/114	both	owner	1	0.9203	295.1	6.297	25.65	36.67	86.04	7.762e+05	2.3e+05	0.2963	0	2	602.5	251.1	247.9	343.7	3	1	1		1	
pdhd	029107_0/50	both	owner	1	0.7754	172.9	11.53	27.52	36.62	99.17	1.31e+06	1.888e+05	0.1441	0	0	314.9	-198.7	436.8	439.5	2	0	1		1	
pdhd	029107_0/127	both	owner	1	0.9495	40.33	10.16	22.83	45.81	63.25	7.225e+05	1.327e+05	0.1836	0	0	1382	329.5	175.2	427.2	3	1	1		1	
pdhd	029107_11/90	both	agent	1	1.014	280.1	3.396	10.54	16.66	95.58	3.159e+05	1.354e+05	0.4288	0	0	-1473	145.5	363.8	95.09	1	1	1		1	
